model,subject_id,test_acc,test_top3_acc,test_loss,merged_acc,f1_before_merge,f1_merged
pointtransformerv3,19,0.6658419966697693,0.8513419032096863,1.016513466835022,0.9086753129959106,0.5408122833665231,0.9202081206770191
pointtransformerv3,20,0.6312926411628723,0.8073880076408386,1.4613451957702637,0.8808723092079163,0.4907681050833697,0.8913378060392826
pointtransformerv3_aux,1,0.42306235432624817,0.6709567308425903,2.062039852142334,0.7939812541007996,0.27051305760698324,0.7504487888547952
pointtransformerv3_aux,2,0.339112251996994,0.5377643704414368,2.2973930835723877,0.5585870146751404,0.14637139782642306,0.5358884262540304
pointtransformerv3_aux,3,0.6760910153388977,0.8511476516723633,1.1669690608978271,0.9074475169181824,0.5712824548717504,0.9114865921334218
pointtransformerv3_aux,4,0.5864914655685425,0.8173319697380066,1.2349960803985596,0.8786424398422241,0.3688185441443935,0.6198984072740525
pointtransformerv3_aux,5,0.2448263317346573,0.5191448330879211,2.495001792907715,0.44671347737312317,0.070485818320203,0.42374467374669006
pointtransformerv3_aux,6,0.6208406686782837,0.8238375186920166,1.1885937452316284,0.8845906257629395,0.4608784266062144,0.8817252363284828
pointtransformerv3_aux,7,0.47704043984413147,0.726490318775177,1.6726329326629639,0.8116778135299683,0.2671079590711229,0.8347332875927643
pointtransformerv3_aux,8,0.6771232485771179,0.8772836923599243,0.9845659732818604,0.896711528301239,0.565095015024236,0.8986726001770775
pointtransformerv3_aux,9,0.5574789047241211,0.7753825187683105,1.3397475481033325,0.8381822109222412,0.3544804804805077,0.8349326604235082
pointtransformerv3_aux,10,0.7337720990180969,0.8914951086044312,0.8912539482116699,0.9193385243415833,0.6207369429163213,0.9239810634830278
pointtransformerv3_aux,11,0.6536082625389099,0.8398312926292419,1.9173609018325806,0.8604498505592346,0.50985246328911,0.8596712353104956
pointtransformerv3_aux,12,0.6822739839553833,0.8525627255439758,1.011056661605835,0.8765330910682678,0.5130942285307573,0.8788250288925514
pointtransformerv3_aux,13,0.47236424684524536,0.7009496092796326,1.6513876914978027,0.7756513357162476,0.31182795638053257,0.7520390955493494
pointtransformerv3_aux,14,0.31792640686035156,0.5884236693382263,2.0972611904144287,0.6762733459472656,0.18296527005262941,0.6446852312414326
pointtransformerv3_aux,15,0.5433869361877441,0.8321662545204163,1.345204472541809,0.8712677359580994,0.36923230760028497,0.8792564777016312
pointtransformerv3_aux,16,0.27281755208969116,0.4819963872432709,2.5891778469085693,0.5154563784599304,0.06941956640296834,0.44799064244632336
pointtransformerv3_aux,17,0.4358387589454651,0.6436930894851685,1.7919117212295532,0.7623926997184753,0.25458941368666693,0.7182560854251283
pointtransformerv3_aux,18,0.7722465991973877,0.8885736465454102,0.8279737830162048,0.8723239898681641,0.5563954498744504,0.710356574258801
pointtransformerv3_aux,19,0.6425536274909973,0.8319797515869141,1.1372532844543457,0.8670467138290405,0.5167984915508665,0.8755661227869049
pointtransformerv3_aux,20,0.23261794447898865,0.4476807415485382,2.826340913772583,0.4980714023113251,0.06490223211094875,0.4910821985604236

dgcnn_aux (mean),20,0.6913 ± 0.0809,0.8636 ± 0.0628,1.7246 ± 1.2521,0.8857 ± 0.0566,0.5858 ± 0.0868,0.8585 ± 0.1124
dgcnn_aux (std),,,,,,,
dgcnn_aux_fusion_t_v2 (mean),20,0.7833 ± 0.0348,0.9155 ± 0.0208,1.2632 ± 0.4299,0.9293 ± 0.0167,0.6933 ± 0.0579,0.9018 ± 0.0882
dgcnn_aux_fusion_t_v2 (std),,,,,,,
dgcnn_mmc_t (mean),20,0.7472 ± 0.0423,0.8924 ± 0.0290,1.3046 ± 0.4391,0.9110 ± 0.0214,0.6419 ± 0.0607,0.8828 ± 0.0961
dgcnn_mmc_t (std),,,,,,,
pointmlp_aux (mean),1,0.7080 ± 0.0000,0.8718 ± 0.0000,0.8989 ± 0.0000,0.8921 ± 0.0000,0.6301 ± 0.0000,0.8967 ± 0.0000
pointmlp_aux (std),,,,,,,
pointnet_aux (mean),1,0.8042 ± 0.0000,0.9291 ± 0.0000,0.7074 ± 0.0000,0.9424 ± 0.0000,0.7556 ± 0.0000,0.9451 ± 0.0000
pointnet_aux (std),,,,,,,
pointnext_aux (mean),1,0.7885 ± 0.0000,0.9232 ± 0.0000,0.8396 ± 0.0000,0.9355 ± 0.0000,0.7310 ± 0.0000,0.9386 ± 0.0000
pointnext_aux (std),,,,,,,
pointtransformer_aux (mean),1,0.7193 ± 0.0000,0.9033 ± 0.0000,0.9073 ± 0.0000,0.9152 ± 0.0000,0.6308 ± 0.0000,0.9177 ± 0.0000
pointtransformer_aux (std),,,,,,,
pointtransformerv3 (mean),20,0.6155 ± 0.1469,0.8075 ± 0.1567,1.2749 ± 0.5822,0.8425 ± 0.1843,0.4774 ± 0.1503,0.8069 ± 0.2120
pointtransformerv3 (std),,,,,,,
pointtransformerv3_aux (mean),20,0.5181 ± 0.1655,0.7299 ± 0.1429,1.6264 ± 0.5926,0.7756 ± 0.1475,0.3522 ± 0.1782,0.7437 ± 0.1599
pointtransformerv3_aux (std),,,,,,,
